Al_2 Te	181.563077
--leak-check=full	0.000000
C_8	96.088000
F Pb	207.200000
F Pb	226.198403
F	18.998403
F	0.000000
Pb	207.200000
Au	196.966569
Au	196.966569
Cl	35.450000
Cl	35.450000
Cl_3	106.350000
Au Cl_2	267.866569
Au Cl_3	303.316569
Au Cl_3	303.316569
Au Cl_3	303.316569
Au Cl_3	303.316569
--leak-check=full	0.000000
--leak-check=full	0.000000
--leak-check=full -s	0.000000
-s --leak-check=full	0.000000
-s --leak-check=full	0.000000
-s --leak-check=full	0.000000
-s --leak-check=full	0.000000
--leak-check=full	0.000000
-leak-check=full	0.000000
	0.000000
	0.000000
	96.088000
C_8	96.088000
Zr C	91.224000
-leak-check=full	0.000000
Zr C	103.235000
Zr C	91.224000
C	0.000000
Zr	91.224000
C_1	12.011000
C_2	24.022000
C_0	0.000000
-leak-check=full C_8	96.088000
Ag B F_4	183.861813
Ag B F_4	183.861813
Ag B F_4	183.861813
Ag B F_4	194.671813
Ag B F_4	194.671813
Ag B F_4	194.671813
Ag B F_4	183.861813
Ag	107.868200
Ag	107.868200
B	10.810000
B	0.000000
F	0.000000
F	0.000000
C	0.000000
C_8	96.088000
F_9	170.985628
F_1	18.998403
F	18.998403
F	0.000000
F_1	1.008000
F	18.998403
F	0.000000
F	0.000000
C	0.000000
C	0.000000
C	0.000000
C	0.000000
C	0.000000
C	0.000000
C	0.000000
C	0.000000
H	0.000000
He	4.002602
He	4.002602
H	0.000000
H	0.000000
He	4.002602
He	4.002602
H	0.000000
-std=c17	0.000000
-std=c17	0.000000
He	4.002602
He	4.002602
H	0.000000
H_4	4.032000
H_4	4.032000
H	0.000000
H_1	1.008000
He	4.002602
He_4	16.010408
He_4	16.010408
H	1.008000
C	12.011000
C	12.011000
Al_2 Te	53.963077
Al_2 Te	53.963077
Al_2 Te	127.600000
Al_2 Te	181.563077
H	0.000000
H	1.008000
Al_2 Te	53.963077
He	1.008000
He	4.002602
H	0.000000
H	1.008000
He	1.008000
He	1.008000
He	4.002602
He	4.002602
He	4.002602
H	0.000000
H	1.008000
He	1.008000
He	4.002602
H	1.008000
He	4.002602
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
Al_2 Te	181.563077
